start_sec;end_sec;mark;text;duration
0,16941;10,96463;(... ) através do mecanismo de multiplicação... ao emprestaremos éh:::... o dinheiro que os depositantes... deixam no banco;através do mecanismo de multiplicação ao emprestaremos eh o dinheiro que os depositantes deixam no banco;10,79522
12,93886;17,95124;bom hoje então a gente vão começar... demanda de... moeda;bom hoje então a gente vão começar demanda de moeda;5,0123799999999985
18,87128;25,96116;a gente quer saber agora... quais as razões que faz:: que fazem com que... ah;a gente quer saber agora quais as razões que faz que fazem com que ah;7,089880000000001
26,42325;27,9183;--(estou) meio preocupado (com o gravador)--;estou meio preocupado com o gravador;1,495049999999999
29,77434;30,84132;(faz fazem);faz fazem;1,066980000000001
32,3506;43,36196;éh:::... ah... quais as razões que levam as pessoas a... demandarem moeda a procurarem moeda a guarDArem moeda;eh ah quais as razões que levam as pessoas a demandarem moeda a procurarem moeda a guardarem moeda;11,011360000000003
43,7582;45,00408;a moeda como tal;a moeda como tal;1,2458799999999997
46,33302;55,61684;o que... por que as pessoas retêm moeda ao invés... de:: comprar títulos... comprar artigos comprar imóveis;o que por que as pessoas retêm moeda ao invés de comprar títulos comprar artigos comprar imóveis;9,283820000000006
56,14394;61,7668;o que faz com que num determinado instante de tempo as pessoas tenham moEda::... no bolso;o que faz com que num determinado instante de tempo as pessoas tenham moeda no bolso;5,622860000000003
62,36738;66,88284;ou seja quais os motivos que explicam a demanda de... moeda;ou seja quais os motivos que explicam a demanda de moeda;4,5154600000000045
67,51888;71,50652;por que as pessoas procuram moeda por que as pessoas reTÊM moeda;por que as pessoas procuram moeda por que as pessoas retêm moeda;3,987639999999999
72,13492;74,91419;essa é a nossa preocupação... hoje;essa é a nossa preocupação hoje;2,779270000000011
85,82664;100,41602;razões... ou motivo pelas quais as pessoas... éh::... demandam... moeda;razões ou motivo pelas quais as pessoas eh demandam moeda;14,589380000000006
102,48178;109,50941;existem três motivos CLÁssicos... pelos quais as pessoas... retêm moeda;existem três motivos clássicos pelos quais as pessoas retêm moeda;7,027630000000002
111,74252;113,34619;são três motivos;são três motivos;1,6036700000000081
114,67941;119,99995;ou três razões... que fazem com que se retenha moeda;ou três razões que fazem com que se retenha moeda;5,320539999999994
121,94627;134,72433;existe uma... retenção de moeda uma demanda de moeda... por... motivo::... tran-sa-ção;existe uma retenção de moeda uma demanda de moeda por motivo transação;12,77806000000001
141,22868;145,87315;existe uma demanda de moeda por motivo... pre-cau-ção;existe uma demanda de moeda por motivo precaução;4,6444700000000125
148,64954;155,51756;es/ esses dois tipos de demanda de moEda já::... já foram... éh discutidos pelos clássicos;es esses dois tipos de demanda de moeda já já foram eh discutidos pelos clássicos;6,868020000000001
155,51756;157,91987;pelos economistas clássicos;pelos economistas clássicos;2,40231
163,09693;172,25864;Keynes... introduziu... uma nova razão pela qual as pessoas... demandam moeda guardam moeda;keynes introduziu uma nova razão pela qual as pessoas demandam moeda guardam moeda;9,161710000000028
172,82088;177,96763;demanda de moeda por motivo es-pe-culação;demanda de moeda por motivo especulação;5,146750000000026
179,66458;189,60524;então Keynes no fundo... ele... admitia os motivos transação e precaução... e adicionou... o motivo especulação;então keynes no fundo ele admitia os motivos transação e precaução e adicionou o motivo especulação;9,940660000000008
197,40978;201,25923;vamos então agora... discutir... cada um deles;vamos então agora discutir cada um deles;3,8494499999999903
217,77968;225,84082;a demanda de moeda por transação... é::... principal motivo pelos quais as pessoas::... retêm moeda;a demanda de moeda por transação é principal motivo pelos quais as pessoas retêm moeda;8,061139999999995
226,00055;227,42851;neceSSItam de moeda;necessitam de moeda;1,4279599999999846
227,87575;228,80856;demandam moeda;demandam moeda;0,9328099999999893
230,00416;246,09407;hã:::... basicamente::... ela se deve à diferença que existe entre as datas de... recebimento... de renda de salário... e os... os/ que a gente efetua... ao longo do mês;ah basicamente ela se deve à diferença que existe entre as datas de recebimento de renda de salário e os os que a gente efetua ao longo do mês;16,089909999999975
246,92146;256,26866;basicamente a diferença entre data de pagamento e data de recebimento faz com que exista uma dê/... uma demanda de moeda... uma retenção de moeda;basicamente a diferença entre data de pagamento e data de recebimento faz com que exista uma dê uma demanda de moeda uma retenção de moeda;9,347200000000015
256,95436;261,88584;as pessoas recebem no início do mês... mas não gastam de uma vez só;as pessoas recebem no início do mês mas não gastam de uma vez só;4,931479999999965
262,16;264,73766;elas vão gastando... aos pouquinhos;elas vão gastando aos pouquinhos;2,5776599999999803
265,07309;274,24634;elas são obrigadas a deixar... uma certa reserva para o:: cafezinho para o lanche... para o almoço... para os gastos normais;elas são obrigadas a deixar uma certa reserva para o cafezinho para o lanche para o almoço para os gastos normais;9,173249999999996
274,86249;285,49905;ou seja as pessoas recebem... o dinheiro no::... no início do mês e vão gastando... de uma forma... gastando aos poucos ao longo do mês;ou seja as pessoas recebem o dinheiro no no início do mês e vão gastando de uma forma gastando aos poucos ao longo do mês;10,636560000000031
286,21104;290,60068;de tal forma que ela sempre tenha alguma reserva algum dinheiro no bolso;de tal forma que ela sempre tenha alguma reserva algum dinheiro no bolso;4,389639999999986
291,05111;300,68881;enfim... é uma demanda de moeda para satisfazer as necessidades de::... transações... e de:: pagamentos::;enfim é uma demanda de moeda para satisfazer as necessidades de transações e de pagamentos;9,637699999999995
302,51158;324,61231;nós podemos resumir isso num exemplinhos... numérico... e nós vamos verificar vamos tentar explicar por que... a demanda de moeda --vamos dar essa notação-- demanda de moeda por motivo transação... é uma função... do nível de renda;nós podemos resumir isso num exemplinhos numérico e nós vamos verificar vamos tentar explicar por que a demanda de moeda vamos dar essa notação demanda de moeda por motivo transação é uma função do nível de renda;22,10073
330,50747;336,2074;vamos tentar mostrar por que que a demanda de moeda é uma função... do nível de renda;vamos tentar mostrar por que que a demanda de moeda é uma função do nível de renda;5,699929999999995
337,57612;349,00035;vamos supor::... que um assalariado receba... um milhão e duzentos... no início do mês;vamos supor que um assalariado receba um milhão e duzentos no início do mês;11,424230000000023
353,04602;363,41115;e gaste de uma forma homogênea... gasta... quarenta cruzeiros... por dia;e gaste de uma forma homogênea gasta quarenta cruzeiros por dia;10,365130000000022
366,77833;376,11975;de tal forma que... quando chegar no úl::timo dia desse mês ele fique exatamente a... zero... certo?;de tal forma que quando chegar no último dia desse mês ele fique exatamente a zero certo;9,341420000000028
376,11975;381,16707;quarenta cruzeiros por dia... ao fim do trigésimo dia... ela está a zero;quarenta cruzeiros por dia ao fim do trigésimo dia ela está a zero;5,047320000000013
381,88904;384,5765;--se ele não receber no dia seguinte... está frito--;se ele não receber no dia seguinte está frito;2,6874599999999873
386,15297;388,58403;então... é de se supor;então é de se supor;2,431060000000002
388,58403;410,11795;--vamos fazer aqui um esqueminha?... vamos colocar aqui o tempo... e aqui neste eixo... a quantidade... de moeda... retida... que é a nossa demanda de moeda por transação--;vamos fazer aqui um esqueminha vamos colocar aqui o tempo e aqui neste eixo a quantidade de moeda retida que é a nossa demanda de moeda por transação;21,533920000000023
411,01245;421,76916;então no primeiro dia ele recebe... mil e duzentos;então no primeiro dia ele recebe mil e duzentos;10,756709999999998
424,24212;426,73959;no primeiro dia então ele tem mil e duzentos no bolso;no primeiro dia então ele tem mil e duzentos no bolso;2,497470000000021
428,77653;435,46012;ao fim do primeiro dia... ele gastou quarenta cruzeiros... certo?;ao fim do primeiro dia ele gastou quarenta cruzeiros certo;6,683590000000038
435,46012;438,51962;cafezinho transporte alimentos;cafezinho transporte alimentos;3,0594999999999573
438,84609;443,88853;então ao fim do primeiro dia ele vai ter mil cento e sessenta... no bolso;então ao fim do primeiro dia ele vai ter mil cento e sessenta no bolso;5,042439999999999
445,05957;448,58215;no segundo dia... ele gasta mais quarenta;no segundo dia ele gasta mais quarenta;3,522580000000005
449,06055;455,15287;então ao fim... do segundo dia ele tem... mil cento e vinte no bolso;então ao fim do segundo dia ele tem mil cento e vinte no bolso;6,092320000000029
456,51441;457,70576;e assim por diante;e assim por diante;1,19135
459,64439;474,30607;dentro dessa hipótese que ele gaste dessa forma homogênea... quarenta cruzeiros por dia... ao fim do trigésimo dia... ele não tem nada... de moeda no bolso;dentro dessa hipótese que ele gaste dessa forma homogênea quarenta cruzeiros por dia ao fim do trigésimo dia ele não tem nada de moeda no bolso;14,66167999999999
475,08438;475,90368;ele está a zero;ele está a zero;0,8192999999999984
476,44988;485,90352;mas... na manhã do dia sê/ ah:: ou no no fim da tarde dia trinta ele... recebe de novo... mil e duzentos::;mas na manhã do dia sê ah ou no no fim da tarde dia trinta ele recebe de novo mil e duzentos;9,453640000000007
485,90352;494,74917;então ele vai ter de novo no bolso... ah::... vai ter mil e duzentos novamente de... moeda;então ele vai ter de novo no bolso ah vai ter mil e duzentos novamente de moeda;8,845649999999978
495,10143;498,04615;e comé/ e reinicia o::... ciclo;e comé e reinicia o ciclo;2,944720000000018
499,17851;502,93857;então deve ocorrer algo deste... tipo;então deve ocorrer algo deste tipo;3,76006000000001
503,69518;509,52819;eu quero encontrar aqui uma ah encontrar aqui uma expressão para a demanda... de moeda;eu quero encontrar aqui uma ah encontrar aqui uma expressão para a demanda de moeda;5,833010000000002
509,52819;516,66387;qual é o SALdo médio retido... ou a quantidade de moeda retida ou demandada... certo?;qual é o saldo médio retido ou a quantidade de moeda retida ou demandada certo;7,135679999999979
516,66387;521,79352;a demanda de moeda é sinônimo de retenção de moeda de guarda de moeda no bolso;a demanda de moeda é sinônimo de retenção de moeda de guarda de moeda no bolso;5,12964999999997
522,15088;523,82612;de necessidade de moeda;de necessidade de moeda;1,675239999999917
524,25754;525,17578;--raciocinem assim--;raciocinem assim;0,9182400000000825
527,28576;535,0934;quanto na média... ele vai ter de moeda... em média quanto ele vai ter no bolso?;quanto na média ele vai ter de moeda em média quanto ele vai ter no bolso;7,807639999999992
556,86434;561,03998;então na média... ele vai ter seiscentos cruzeiros no bolso;então na média ele vai ter seiscentos cruzeiros no bolso;4,175640000000044
561,50804;566,39561;evidentemente tem dia que ele tem um milhão e duzentos outro dia ele tem... zero ou tem;evidentemente tem dia que ele tem um milhão e duzentos outro dia ele tem zero ou tem;4,887569999999982
566,6133;570,57074;outro dia tem mil cento e sessenta mas também tem um dia que ele tem... quarenta;outro dia tem mil cento e sessenta mas também tem um dia que ele tem quarenta;3,9574400000000196
570,57074;575,58828;enfim na média ele deve ter... deve ter... seiscentos cruzeiros no bolso;enfim na média ele deve ter deve ter seiscentos cruzeiros no bolso;5,017540000000054
576,5184;586,8294;aqui então é a... é a demanda de... moeda então;aqui então é a é a demanda de moeda então;10,310999999999922
587,35185;592,09756;o saldo ou o saldo médio... retido;o saldo ou o saldo médio retido;4,745710000000031
594,64253;604,3754;que é igual a... seiscentos cruzeiros que é a nossa demanda de... de moeda por motivo... transação;que é igual a seiscentos cruzeiros que é a nossa demanda de de moeda por motivo transação;9,732870000000048
604,65642;620,14825;evidentemente se ele receber... MAIS... de moeda... ah:: (quan) hã se ele receber uma uma um salário maior... a quantidade de moeda por motivo transações deve ser... maior;evidentemente se ele receber mais de moeda ah quan ah se ele receber uma uma um salário maior a quantidade de moeda por motivo transações deve ser maior;15,491829999999936
620,14825;639,22803;ele deve ter mais necessidade de pagamentos... certo?... de:: transações diárias de tal forma que... há uma correlação direta entre... quantidade de moeda... que as pessoas neceSSItam... --para esse motivo transação né?--... e o nível de renda... das pessoas;ele deve ter mais necessidade de pagamentos certo de transações diárias de tal forma que há uma correlação direta entre quantidade de moeda que as pessoas necessitam para esse motivo transação né e o nível de renda das pessoas;19,079780000000028
641,23357;655,13672;éh:: como a:: norma as variáveis macroeconômicas são expressas em:::... em termos anuais... interessa saber... então ah relacionar essa demanda de moeda (por) transações com o nível de renda em termos... no ano;eh como a norma as variáveis macroeconômicas são expressas em em termos anuais interessa saber então ah relacionar essa demanda de moeda por transações com o nível de renda em termos no ano;13,903149999999982
655,13672;664,96625;quanto que esta... demanda de moeda... representa... éh::: da renda anual... do sujeito aqui;quanto que esta demanda de moeda representa eh da renda anual do sujeito aqui;9,829529999999977
666,0783;673,29592;a renda mensal... é igual a... mil e duzentos;a renda mensal é igual a mil e duzentos;7,217620000000011
674,84;680,76463;a renda anual... então vai ser igual a... catorze e quatrocentos né?;a renda anual então vai ser igual a catorze e quatrocentos né;5,924629999999979
684,40761;685,06463;o quê?;o quê;0,6570199999999886
688,32177;694,27109;então demanda de moeda por transações... é igual a;então demanda de moeda por transações é igual a;5,949319999999943
697,94931;710,4119;hã:::... quanto que isso daqui rê/ quanto que... seiscentos representa... em catorze mil e quatrocentos?;ah quanto que isso daqui rê quanto que seiscentos representa em catorze mil e quatrocentos;12,462589999999977
711,7419;720,64258;enfim em proporção à RENda... quanto as pessoas retêm em média... de moeda... em proporção ao nível de renda?;enfim em proporção à renda quanto as pessoas retêm em média de moeda em proporção ao nível de renda;8,900679999999966
721,50542;726,47304;seria... um... vinte e quatro avos né?;seria um vinte e quatro avos né;4,967620000000011
728,55684;729,47112;está certo isso?;está certo isso;0,9142800000000761
731,22246;738,75943;então a demanda de moeda é igual a um vinte e quatro avos... da... renda anual;então a demanda de moeda é igual a um vinte e quatro avos da renda anual;7,536969999999997
739,47978;740,53655;--(vamos) chamar de ípsilon--;vamos chamar de ípsilon;1,0567700000000286
742,55613;746,80647;ou seria um:::... éh:: um meio da renda mensal;ou seria um eh um meio da renda mensal;4,250339999999937
747,0954;752,12149;mas as nossas variáveis macroeconômicas normalmente... são expressas em termos anuais;mas as nossas variáveis macroeconômicas normalmente são expressas em termos anuais;5,026089999999954
752,68353;766,86514;então... da sua renda anual que é catorze mil e quatrocentos... as pessoas... retêm um vinte quatro avos... dessa... renda POR moTIvo DE... transação;então da sua renda anual que é catorze mil e quatrocentos as pessoas retêm um vinte quatro avos dessa renda por motivo de transação;14,181609999999978
767,32;769,40717;para satisfazer as transações;para satisfazer as transações;2,087169999999901
771,79382;779,09242;de uma forma genérica... genericamente... essa fórmula é expressa assim;de uma forma genérica genericamente essa fórmula é expressa assim;7,298599999999965
